Pool,Zone,Distance,Nitrogen weight (ug),Total Nonnative PC
6,E,0,0.83%,4
6,T,2,1.48%,6
6,M,4,1.43%,0
6,M,6,1.55%,0
6,T,8,0.72%,3
6,E,10,0.95%,11
7,E,0,1.22%,5
7,T,2,1.02%,2
7,M,10,1.05%,0
7,M,12,1.25%,0
7,T,22,0.99%,2
7,E,26,1.34%,5
9,E,0,0.63%,7
9,T,2,0.66%,7
9,M,6,0.58%,0
9,M,8,0.63%,1
9,T,14,0.67%,4
9,E,16,0.82%,8
14,E,0,0.64%,2
14,T,4,1.25%,0
14,M,14,1.09%,2
14,M,16,0.95%,0
14,T,26,0.95%,0
14,E,28,0.64%,5
16,E,0,0.97%,34
16,T,4,0.51%,10
16,M,14,0.74%,1
16,M,16,0.70%,1
16,T,24,0.53%,14
16,E,26,1.41%,17
PH1,E,0,0.77%,3
PH2,T,4,0.38%,0
PH3,M,10,0.74%,0
PH4,M,12,0.63%,0
PH5,T,20,0.66%,3
PH6,E,22,0.79%,5
