Pool,Zone,Distance,nitrogen,Total Nonnative PC
6,E,0,0.77%,4
6,T,2,0.38%,6
6,M,4,0.74%,0
6,M,6,0.63%,0
6,T,8,0.66%,3
6,E,10,0.79%,11
7,E,0,0.97%,5
7,T,2,0.51%,2
7,M,10,0.74%,0
7,M,12,0.70%,0
7,T,22,0.53%,2
7,E,26,1.41%,5
9,E,0,0.64%,7
9,T,2,1.25%,7
9,M,6,1.09%,0
9,M,8,0.95%,1
9,T,14,0.95%,4
9,E,16,0.64%,8
14,E,0,0.63%,2
14,T,4,0.66%,0
14,M,14,0.58%,2
14,M,16,0.63%,0
14,T,26,0.67%,0
14,E,28,0.82%,5
16,E,0,1.22%,34
16,T,4,1.02%,10
16,M,14,1.05%,1
16,M,16,1.25%,1
16,T,24,0.99%,14
16,E,26,1.34%,17
PH1,E,0,0.83%,3
PH2,T,4,1.48%,0
PH3,M,10,1.43%,0
PH4,M,12,1.55%,0
PH5,T,20,0.72%,3
PH6,E,22,0.95%,5
