,weight ug,n %,n weight ug
1,2544,0.83%,21.03946473
2,2142,1.48%,31.69406545
3,2449,1.43%,35.06577455
4,2838,1.55%,43.96708655
5,2533,0.72%,18.20722909
6,2359,0.95%,22.38814836
7,2506,1.22%,30.61511855
8,2588,1.02%,26.29933091
9,2258,1.05%,23.736832
10,2338,1.25%,29.13156655
11,2806,0.99%,27.91775127
12,2959,1.34%,39.51643055
13,2392,0.63%,14.97038836
14,2665,0.66%,17.53288727
15,2127,0.58%,12.40788945
16,2370,0.63%,14.83552
17,2414,0.67%,16.22566575
18,2771,0.82%,22.60953425
19,3089,0.64%,19.81659178
20,2589,1.25%,32.31833425
21,2149,1.09%,23.35990413
22,2282,0.95%,21.77618182
23,2684,0.95%,25.60351074
24,2752,0.64%,17.55292231
25,3130,0.97%,30.22270083
26,2119,0.51%,10.82210248
27,2182,0.74%,16.23315372
28,2164,0.70%,15.17733884
29,2507,0.53%,13.19768595
30,2774,1.41%,39.19712727
31,2392,0.77%,18.47676033
32,2847,0.38%,10.95407934
33,2859,0.74%,21.24827438
34,2617,0.63%,16.36513058
35,2328,0.66%,15.44129256
36,2145,0.79%,16.89303802
