Pool,Zone,Distance,Nitrogen weight (ug),Total Nonnative PC
6,E,0,18.47676033,4
6,T,2,10.95407934,6
6,M,4,21.24827438,0
6,M,6,16.36513058,0
6,T,8,15.44129256,3
6,E,10,16.89303802,11
7,E,0,30.22270083,5
7,T,2,10.82210248,2
7,M,10,16.23315372,0
7,M,12,15.17733884,0
7,T,22,13.19768595,2
7,E,26,39.19712727,5
9,E,0,19.81659178,7
9,T,2,32.31833425,7
9,M,6,23.35990413,0
9,M,8,21.77618182,1
9,T,14,25.60351074,4
9,E,16,17.55292231,8
14,E,0,14.97038836,2
14,T,4,17.53288727,0
14,M,14,12.40788945,2
14,M,16,14.83552,0
14,T,26,16.22566575,0
14,E,28,22.60953425,5
16,E,0,30.61511855,34
16,T,4,26.29933091,10
16,M,14,23.736832,1
16,M,16,29.13156655,1
16,T,24,27.91775127,14
16,E,26,39.51643055,17
PH1,E,0,21.03946473,3
PH2,T,4,31.69406545,0
PH3,M,10,35.06577455,0
PH4,M,12,43.96708655,0
PH5,T,20,18.20722909,3
PH6,E,22,22.38814836,5
