Pool,Zone,Distance,Ammonium,Nitrate,Ammonium+Nitrate,Total Nonnative PC
6,E,0,0.44113945,0.54078147,0.98192092,4
6,T,2,0.7406378,0.91685181,1.65748961,6
6,M,4,0.75063695,0.88685847,1.63749542,0
6,M,6,2.6138119,3.33593004,5.94974194,0
6,T,8,0.8939581,1.15679853,2.05075663,3
6,E,10,0.59636435,0.75035032,1.34671467,11
7,E,0,0.8387247,0.98683627,1.82556097,5
7,T,2,0.82015485,0.91992805,1.7400829,2
7,M,10,1.32963535,1.69552506,3.02516041,0
7,M,12,0.66397765,0.68036586,1.34434351,0
7,T,22,0.73730475,0.95722746,1.69453221,2
7,E,26,0.38495375,0.45233957,0.83729332,5
9,E,0,0.40876125,0.34544023,0.75420148,7
9,T,2,2.4862037,1.17410238,3.66030608,7
9,M,6,2.38383145,2.78720573,5.17103718,0
9,M,8,1.0558491,1.08950578,2.14535488,1
9,T,14,0.4263788,0.41773187,0.84411067,4
9,E,16,1.334873,1.73205541,3.06692841,8
14,E,0,0.48780215,0.56000797,1.04781012,2
14,T,4,0.56969995,0.69074817,1.26044812,0
14,M,14,0.31162665,0.36774297,0.67936962,2
14,M,16,0.34590945,0.37427998,0.72018943,0
14,T,26,0.5597008,0.6680609,1.2277617,0
14,E,28,0.4616139,0.58269524,1.04430914,5
16,E,0,0.67826215,0.98645174,1.66471389,34
16,T,4,0.72111565,0.80956794,1.53068359,10
16,M,14,1.0072818,0.99145063,1.99873243,1
16,M,16,1.7376959,2.02506727,3.76276317,1
16,T,24,1.820546,2.00276453,3.82331053,14
16,E,26,0.6892136,1.1064251,1.7956387,17
PH1,E,0,0.325435,0.58231071,0.90774571,3
PH2,T,4,0.65874,4.20150707,4.86024707,0
PH3,M,10,0.66302535,0.98222191,1.64524726,0
PH4,M,12,0.3035321,0.57346652,0.87699862,0
PH5,T,20,0.37447845,0.33198168,0.70646013,3
PH6,E,22,0.52208495,1.00029482,1.52237977,5
